,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,"
North America
","24,889,808","+209,938","534,030","+4,104","15,387,566","+116,364","8,968,212","35,696",,,,,,North America,"
",,
1,,"
Asia
","21,140,900","+84,414","344,051","+1,058","19,648,119","+77,999","1,148,730","24,354",,,,,,Asia,"
",,
2,,"
South America
","13,537,214","+60,557","368,940",+974,"12,099,227","+2,832","1,069,047","18,183",,,,,,South America,"
",,
3,,"
Europe
","24,937,073","+265,860","569,930","+5,342","13,383,398","+144,422","10,983,745","28,119",,,,,,Europe,"
",,
4,,"
Africa
","2,903,318","+9,311","69,032",+182,"2,393,643","+6,829","440,643","2,368",,,,,,Africa,"
",,
5,,"
Oceania
","48,730",+17,"1,066",,"33,599",+12,"14,065",20,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,706,,0,0,,,,,,,"
155,148,Aruba,"5,716",,50 ,,"5,237",,429,4,"53,421",467,"69,522","649,738","107,000 ",North America,19,"2,140",2
156,149,Equatorial Guinea,"5,286",+7,86 ,,"5,154",+11,46,,"3,706",60,"77,991","54,683","1,426,243 ",Africa,270,"16,584",18
157,150,CAR,"4,963",,63 ,,"1,924",,"2,976",2,"1,019",13,"32,711","6,713","4,872,666 ",Africa,982,"77,344",149
158,151,Somalia,"4,714",,130 ,,"3,612",,972,,292,8,,,"16,117,867 ",Africa,"3,419","123,984",
159,152,Curaçao,"4,342",,16 ,,"3,320",,"1,006",4,"26,405",97,"36,985","224,916","164,439 ",North America,38,"10,277",4
160,153,Gambia,"3,812",,125 ,,"3,677",,10,1,"1,555",51,"30,094","12,278","2,451,060 ",Africa,643,"19,608",81
161,154,Togo,"3,807",+37,70 ,+1,"3,544",+29,193,,454,8,"183,330","21,884","8,377,378 ",Africa,"2,201","119,677",46
162,155,South Sudan,"3,589",,63 ,,"3,131",,395,2,319,6,"77,161","6,852","11,261,057 ",Africa,"3,138","178,747",146
163,156,Niger,"3,557",+57,112 ,+2,"2,152",+91,"1,293",3,144,5,"64,215","2,605","24,647,560 ",Africa,"6,929","220,068",384
164,157,Benin,"3,304",,44 ,,"3,185",,75,,269,4,"396,208","32,253","12,284,297 ",Africa,"3,718","279,189",31
165,158,Lesotho,"3,206",,65 ,,"1,496",,"1,645",,"1,490",30,"33,345","15,502","2,150,986 ",Africa,671,"33,092",65
166,159,Channel Islands,"3,194",+30,67 ,,"2,756",,371,10,"18,284",384,"274,437","1,571,021","174,687 ",Europe,55,"2,607",1
167,160,Gibraltar,"2,798",+172,11 ,+1,"1,579",+49,"1,208",71,"83,061",327,"128,667","3,819,599","33,686 ",Europe,12,"3,062",0
168,161,Sierra Leone,"2,739",+15,76 ,,"1,929",+5,734,,340,9,,,"8,059,665 ",Africa,"2,943","106,048",
169,162,San Marino,"2,549",,62 ,,"2,158",,329,10,"75,041","1,825","27,735","816,504","33,968 ",Europe,13,548,1
170,163,Guinea-Bissau,"2,455",,45 ,,"2,398",,12,5,"1,233",23,"37,546","18,852","1,991,647 ",Africa,811,"44,259",53
171,164,Chad,"2,328",+39,105 ,,"1,888",+12,335,,140,6,,,"16,664,505 ",Africa,"7,158","158,710",
172,165,Liechtenstein,"2,295",+49,48 ,+3,"2,005",,242,16,"60,102","1,257","20,649","540,762","38,185 ",Europe,17,796,2
173,166,New Zealand,"2,186",,25 ,,"2,100",,61,,437,5,"1,419,361","283,753","5,002,100 ",Australia/Oceania,"2,288","200,084",4
174,167,Yemen,"2,102",+1,610 ,,"1,403",+2,89,23,70,20,"17,404",577,"30,160,336 ",Asia,"14,348","49,443","1,733"
175,168,Liberia,"1,779",,83 ,,"1,406",,290,2,348,16,"39,870","7,790","5,118,119 ",Africa,"2,877","61,664",128
176,169,Vietnam,"1,505",+1,35 ,,"1,353",+14,117,,15,0.4,"1,431,631","14,640","97,788,823 ",Asia,"64,976","2,793,966",68
177,170,Sint Maarten,"1,504",,27 ,,"1,385",,92,3,"34,875",626,"10,242","237,490","43,126 ",North America,29,"1,597",4
178,171,Eritrea,"1,445",,3 ,,740,,702,,405,0.8,"23,693","6,634","3,571,564 ",Africa,"2,472","1,190,521",151
179,172,Mongolia,"1,349",+41,2 ,,887,+3,460,9,408,0.6,"677,286","204,910","3,305,287 ",Asia,"2,450","1,652,644",5
180,173,Sao Tome and Principe,"1,025",+1,17 ,,987,,21,,"4,633",77,"7,498","33,891","221,236 ",Africa,216,"13,014",30
181,174,Saint Martin,"1,025",+30,12 ,,855,,158,7,"26,280",308,"12,433","318,770","39,003 ",North America,38,"3,250",3
182,175,Comoros,995,,13 ,,759,,223,,"1,132",15,,,"879,035 ",Africa,883,"67,618",
183,176,Monaco,978,+31,3 ,,773,+10,202,1,"24,832",76,"51,953","1,319,106","39,385 ",Europe,40,"13,128",1
184,177,Turks and Caicos,918,,6 ,,795,,117,2,"23,548",154,"11,984","307,400","38,985 ",North America,42,"6,498",3
185,178,Burundi,842,,2 ,,687,,153,,70,0.2,"76,962","6,376","12,069,929 ",Africa,"14,335","6,034,965",157
186,179,Taiwan,819,+2,7 ,,700,+3,112,,34,0.3,"129,393","5,428","23,839,047 ",Asia,"29,108","3,405,578",184
187,180,Papua New Guinea,799,,9  ,,755,,35,,88,1.0,"39,761","4,402","9,033,502 ",Australia/Oceania,"11,306","1,003,722",227
188,181,Bhutan,755,+21, ,,456,,299,,973,,"310,042","399,555","775,969 ",Asia,"1,028",,3
189,182,Diamond Princess,712,,13 ,,699,,0,,,,,, ,,,,
190,183,Barbados,692,+49,7 ,,324,,361,1,"2,406",24,"75,889","263,909","287,557 ",North America,416,"41,080",4
191,184,Faeroe Islands,640,+14,1 ,+1,579,+11,60,1,"13,072",20,"205,976","4,207,112","48,959 ",Europe,76,"48,959",0
192,185,Bermuda,632,,11 ,,522,,99,4,"10,167",177,"146,342","2,354,317","62,159 ",North America,98,"5,651",0
193,186,Mauritius,531,,10 ,,513,,8,,417,8,"289,552","227,482","1,272,859 ",Africa,"2,397","127,286",4
194,187,Tanzania,509,,21 ,,183,,305,7,8,0.3,,,"60,595,812 ",Africa,"119,049","2,885,515",
195,188,Isle of Man,389,+3,25 ,,349,,15,,"4,562",293,"22,289","261,409","85,265 ",Europe,219,"3,411",4
196,189,Cambodia,383,+1, ,,362,,21,,23,,"341,480","20,281","16,837,491 ",Asia,"43,962",,49
197,190,Saint Lucia,382,+2,5 ,,292,,85,,"2,075",27,"20,191","109,698","184,060 ",North America,482,"36,812",9
198,191,Seychelles,373,+19,1 ,,228,+4,144,,"3,781",10,"5,200","52,706","98,661 ",Africa,265,"98,661",19
199,192,Cayman Islands,350,,2 ,,305,,43,1,"5,294",30,"61,328","927,554","66,118 ",North America,189,"33,059",1
200,193,Caribbean Netherlands,249,,3 ,,181,,65,,"9,450",114,"4,453","169,007","26,348 ",North America,106,"8,783",6
201,194,St. Barth,206,+16,1 ,,172,,33,,"20,823",101,"8,518","861,013","9,893 ",North America,48,"9,893",1
202,195,Brunei ,172,,3 ,,149,,20,,391,7,"83,920","190,887","439,632 ",Asia,"2,556","146,544",5
203,196,Antigua and Barbuda,160,,5 ,,148,,7,1,"1,627",51,"6,651","67,629","98,346 ",North America,615,"19,669",15
204,197,St. Vincent Grenadines,133,, ,,100,,33,,"1,197",,"21,273","191,438","111,122 ",North America,836,,5
205,198,Grenada,127,,1 ,,107,,19,,"1,126",9,"6,781","60,120","112,792 ",North America,888,"112,792",17
206,199,Dominica,105,+17, ,,93,+10,12,,"1,457",,"7,844","108,827","72,078 ",North America,686,,9
207,200,British Virgin Islands,97,,1 ,,84,,12,,"3,198",33,"13,223","435,899","30,335 ",North America,313,"30,335",2
208,201,Fiji,53,+4,2 ,,44,,7,,59,2,"19,883","22,097","899,789 ",Australia/Oceania,"16,977","449,895",45
209,202,Timor-Leste,49,, ,,37,,12,,37,,"16,885","12,684","1,331,257 ",Asia,"27,169",,79
210,203,Macao,46,, ,,46,,0,,70,,"4,238","6,481","653,870 ",Asia,"14,215",,154
211,204,Laos,41,, ,,40,,1,,6,,"93,619","12,773","7,329,614 ",Asia,"178,771",,78
212,205,New Caledonia,40,, ,,38,,2,,139,,"19,069","66,464","286,908 ",Australia/Oceania,"7,173",,15
213,206,Saint Kitts and Nevis,33,, ,,31,,2,,618,,"5,593","104,752","53,393 ",North America,"1,618",,10
214,207,Falkland Islands,29,, ,,17,,12,,"8,213",,"5,467","1,548,287","3,531 ",South America,122,,1
215,208,Greenland,28,, ,,25,,3,,493,,"15,931","280,372","56,821 ",North America,"2,029",,4
216,209,Vatican City,27,, ,,15,,12,,"33,666",,,,802 ,Europe,30,,
217,210,Solomon Islands,17,, ,,10,,7,,24,,"4,500","6,471","695,441 ",Australia/Oceania,"40,908",,155
218,211,Saint Pierre Miquelon,16,, ,,15,+1,1,,"2,769",,"3,246","561,689","5,779 ",North America,361,,2
219,212,Anguilla,15,, ,,13,,2,,995,,"5,337","354,100","15,072 ",North America,"1,005",,3
220,213,Montserrat,13,,1 ,,12,,0,,"2,603",200,626,"125,350","4,994 ",North America,384,"4,994",8
221,214,Western Sahara,10,,1 ,,8,,1,,17,2,,,"604,799 ",Africa,"60,480","604,799",
222,215,MS Zaandam,9,,2 ,,7,,0,,,,,, ,,,,
223,216,Marshall Islands,4,, ,,4,,0,,67,,,,"59,396 ",Australia/Oceania,"14,849",,
224,217,Wallis and Futuna,4,, ,,1,,3,,359,,"1,149","103,179","11,136 ",Australia/Oceania,"2,784",,10
225,218,Samoa,2,, ,,2,,0,,10,,,,"199,093 ",Australia/Oceania,"99,547",,
226,219,Vanuatu,1,, ,,1,,0,,3,,,,"310,794 ",Australia/Oceania,"310,794",,
227,220,China,"87,215",+32,"4,634 ",,"82,138",+21,443,14,61,3,"160,000,000","111,163","1,439,323,776 ",Asia,"16,503","310,601",9
